Gender,Age,City,Education,Occupation,Monthly_Income,IM_Usage_period,Experience,Bank,Source,Bank_Account_Type,Usage_Time,Distance,Service,TimeSaving,Easyness,UI_Design,Network_Connectivity,Cost_effective,Availabilty,Security,Comfortable,Awareness,Usage,Aware_Charges,Charges,Satifaction,Recommendation
Male,31 - 40,Batticaloa,Diploma,Govt Employee,"50,000- 100,000",More than two years,Intermediate,Bank of Ceylon;Peoples’ bank;Sampath bank,Internet,Saving Account,Weekly-Once,5 to 10 km,All the above,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Yes,Okay,3,Yes
Female,41 - 50,Jaffna,Degree,Govt Employee,"Upto 50000",More than two years,Intermediate,Bank of Ceylon;Hatton National Bank,Internet,Saving Account,Weekly-Once,Less than 1 km,All the above,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Neutral,Yes,little high,3,Yes
Male,31 - 40,Colombo,Degree,Private Employee,"150,001-200,000",More than two years,Intermediate,Commercial Bank,Internet,Saving Account,Weekly-Once,2 to 5 km,All the above,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Yes,little high,3,Yes
Male,31 - 40,Kilinochi,Diploma,Private Employee,"Upto 50000",More than two years,Intermediate,Bank of Ceylon;Commercial Bank,Bank,Saving Account,Weekly-several times,1 to 2 km,All the above,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Okay,3,No
Male,26 - 30,Jaffna,A/L,Govt Employee,"50,000- 100,000",More than two years,Intermediate,Peoples’ bank,Friend,Saving Account,Occasionally (less than once a month),1 to 2 km,To get an account balance update,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Yes,little high,3,No
Female,26 - 30,Batticaloa,Degree,Student,,More than two years,Experienced,Commercial Bank,Bank,Saving Account,Occasionally (less than once a month),Less than 1 km,To buy goods or services,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,No,,3,No
Male,26 - 30,Jaffna,Degree,Private Employee,"150,001-200,000",More than two years,Experienced,Bank of Ceylon,Bank,Saving Account,Monthly-several times,Less than 1 km,All the above,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Yes,Okay,4,Yes
Male,18 - 25,Vavuniya,Degree,Private Employee,"50,000- 100,000",More than two years,Experienced,Bank of Ceylon;Commercial Bank,Bank,Saving Account,Monthly-once,2 to 5 km,All the above,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Yes,Not care,4,Yes
Male,18 - 25,Jaffna,Degree,Private Employee,"150,001-200,000",More than two years,Experienced,Bank of Ceylon;Commercial Bank,Internet,Saving Account,Monthly-once,Less than 1 km,To pay utility bills,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,little high,3,Yes
Male,41 - 50,Vavuniya,Degree,Govt Employee,"150,001-200,000",More than two years,Intermediate,Peoples’ bank,Bank,Saving Account,Monthly-several times,1 to 2 km,All the above,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Yes,little high,4,Yes
Male,26 - 30,Jaffna,Degree,Private Employee,"100,001-150,000",More than two years,Experienced,Commercial Bank,Bank,Both,Daily-once,More than 10 km,All the above,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,little high,5,Yes
Female,18 - 25,Batticaloa,Degree,Student,,More than two years,Intermediate,Bank of Ceylon,Bank,Saving Account,Monthly-several times,1 to 2 km,To get an account balance update,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,No,Not acceptable,5,Yes
